Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,52,0.0,1.0,0.005481038569273864,0.7115384615384616,0.9423076923076923,0.8269230769230769
CARDINAL,105,0.0,0.8761904761904762,0.006557353389651525,0.7523809523809524,0.8095238095238095,0.7333333333333333
QUANTITY,1,0.0,1.0,0.0,1.0,1.0,1.0
ORDINAL,3,0.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666
MONEY,4,0.0,0.75,0.020833333333333332,0.75,0.5,0.5
PERCENT,2,0.0,1.0,0.09999999999999999,1.0,1.0,0.5
TIME,5,0.0,1.0,0.13333333333333333,0.8,0.8,0.6
PERSON,744,0.0,0.9986559139784946,0.020328706091318097,0.6706989247311828,0.8077956989247311,0.7768817204301075
GPE,296,0.0,1.0,0.005853178642038179,0.6452702702702703,0.902027027027027,0.8918918918918919
ORG,380,0.002631578947368421,1.0,0.017364796303663436,0.6921052631578948,0.8289473684210527,0.7947368421052632
NORP,58,0.0,0.9827586206896551,0.015488544526657048,0.7758620689655172,0.8103448275862069,0.7241379310344828
LOC,32,0.0,1.0,0.013257575757575758,0.65625,0.90625,0.90625
WORK_OF_ART,17,0.0,1.0,0.014763552479815456,0.7058823529411765,0.6470588235294118,0.6470588235294118
FAC,17,0.0,1.0,0.0,0.5882352941176471,0.7058823529411765,0.6470588235294118
PRODUCT,21,0.0,1.0,0.01836734693877551,0.8095238095238095,0.8095238095238095,0.8095238095238095
EVENT,9,0.0,1.0,0.006535947712418302,0.6666666666666666,0.8888888888888888,0.7777777777777778
LAW,2,0.0,1.0,0.0,1.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.0,0.0,0.0,0.0
unknown,189,0.0,1.0,0.006993234367829594,0.7513227513227513,0.7566137566137566,0.6772486772486772
Overall,1938,0.0005159958720330237,0.9917440660474717,0.01481892385267439,0.6898864809081527,0.824045407636739,0.7843137254901961
