Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,52,0.17307692307692307,0.8269230769230769,0.17307692307692307,0.5769230769230769,0.8846153846153846
CARDINAL,105,0.26666666666666666,0.7238095238095238,0.26666666666666666,0.580952380952381,0.9047619047619048
QUANTITY,1,0.0,1.0,0.0,1.0,1.0
ORDINAL,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0
MONEY,4,0.5,0.75,0.5,0.75,1.0
PERCENT,2,0.5,0.5,0.5,0.5,0.5
TIME,5,0.4,0.6,0.2,0.4,0.8
PERSON,744,0.22311827956989247,0.7782258064516129,0.2325268817204301,0.5846774193548387,0.9529569892473119
GPE,296,0.10810810810810811,0.8918918918918919,0.10810810810810811,0.6114864864864865,0.9628378378378378
ORG,380,0.20789473684210527,0.7947368421052632,0.2131578947368421,0.6026315789473684,0.95
NORP,58,0.27586206896551724,0.7413793103448276,0.27586206896551724,0.5689655172413793,0.9137931034482759
LOC,32,0.09375,0.90625,0.09375,0.625,0.9375
WORK_OF_ART,17,0.35294117647058826,0.6470588235294118,0.35294117647058826,0.35294117647058826,1.0
FAC,17,0.35294117647058826,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.9411764705882353
PRODUCT,21,0.19047619047619047,0.8095238095238095,0.19047619047619047,0.6190476190476191,1.0
EVENT,9,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.8888888888888888
LAW,2,0.0,1.0,0.0,1.0,1.0
LANGUAGE,1,1.0,0.0,1.0,1.0,1.0
unknown,189,0.32275132275132273,0.6772486772486772,0.32275132275132273,0.544973544973545,0.8888888888888888
Overall,1938,0.21620227038183695,0.7853457172342622,0.22033023735810114,0.5846233230134159,0.9416924664602683
