Entity,Number of data,Hard EM,Soft EM,F1,BEM
"['GPE', 'GPE', 'FAC', 'GPE']",1,0.0,1.0,0.0,1.0
"['ORG', 'ORDINAL']",1,0.0,0.0,0.0,1.0
"['DATE', 'NORP']",1,0.0,0.0,0.0,1.0
"['NORP', 'GPE', 'NORP']",1,0.0,0.0,0.0,1.0
"['ORG', 'PERSON', 'PERSON', 'PERSON']",2,0.0,1.0,0.0,1.0
"['ORG', 'GPE', 'GPE']",2,0.0,1.0,0.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'PERSON', 'WORK_OF_ART', 'PERSON']",1,1.0,1.0,1.0,0.0
"['PERSON', 'GPE', 'GPE']",1,0.0,0.0,0.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON']",1,0.0,1.0,0.0,1.0
"['LOC', 'DATE']",1,0.0,0.0,0.0,0.0
"['CARDINAL', 'EVENT']",1,0.0,1.0,0.0,1.0
"['CARDINAL', 'CARDINAL', 'PERSON', 'PERSON']",1,1.0,0.0,1.0,0.0
"['MONEY', 'DATE']",2,1.0,1.0,1.0,0.0
"['ORG', 'LANGUAGE']",1,0.0,1.0,0.0,1.0
"['CARDINAL', 'ORG', 'GPE', 'ORG']",1,0.0,1.0,0.0,1.0
"['GPE', 'LOC']",1,0.0,1.0,0.0,1.0
"['GPE', 'LOC', 'GPE', 'GPE']",1,0.0,1.0,0.0,1.0
LANGUAGE,2,0.0,1.0,0.0,1.0
"['QUANTITY', 'CARDINAL', 'QUANTITY']",1,0.0,0.0,0.0,1.0
"['PERSON', 'PERSON', 'ORG', 'PERSON', 'WORK_OF_ART', 'PERSON', 'PERSON']",1,0.0,0.0,0.0,1.0
"['GPE', 'GPE', 'ORG']",1,0.0,1.0,0.0,1.0
"['CARDINAL', 'QUANTITY']",3,0.6666666666666666,1.0,0.6666666666666666,1.0
"['CARDINAL', 'CARDINAL', 'DATE', 'CARDINAL', 'CARDINAL']",1,0.0,0.0,0.0,1.0
"['PERSON', 'ORG', 'GPE']",1,0.0,0.0,0.0,1.0
"['LOC', 'NORP', 'GPE']",1,0.0,1.0,0.0,1.0
"['GPE', 'GPE', 'NORP', 'GPE']",1,0.0,0.0,0.0,0.0
"['PERSON', 'GPE', 'GPE', 'GPE']",1,0.0,1.0,0.0,1.0
"['DATE', 'PERSON', 'GPE']",1,0.0,1.0,0.0,1.0
"['DATE', 'ORG', 'PRODUCT', 'ORG', 'ORG', 'PRODUCT']",1,1.0,1.0,1.0,0.0
"['DATE', 'GPE', 'DATE', 'DATE']",1,1.0,0.0,1.0,0.0
"['ORG', 'NORP']",2,0.0,0.5,0.0,1.0
"['ORG', 'FAC', 'ORG']",2,0.5,0.5,0.5,0.5
"['ORG', 'NORP', 'GPE']",1,0.0,1.0,0.0,1.0
"['PERSON', 'PERSON', 'ORG', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON']",1,1.0,1.0,1.0,0.0
"['DATE', 'PERCENT']",1,1.0,1.0,1.0,0.0
"['CARDINAL', 'DATE']",6,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.8333333333333334
"['PERSON', 'NORP', 'ORG']",1,0.0,1.0,0.0,1.0
LAW,3,0.0,0.3333333333333333,0.0,0.6666666666666666
"['ORG', 'PERSON', 'PERSON']",3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
"['GPE', 'GPE', 'ORG', 'GPE']",1,0.0,1.0,0.0,1.0
"['PERSON', 'PERSON', 'DATE', 'ORG']",1,0.0,1.0,0.0,1.0
"['DATE', 'DATE', 'TIME']",1,0.0,1.0,0.0,1.0
"['CARDINAL', 'PERSON']",2,0.0,1.0,0.0,1.0
"['NORP', 'NORP', 'PERSON']",1,1.0,1.0,1.0,0.0
"['NORP', 'NORP', 'GPE']",1,0.0,1.0,0.0,1.0
"['LANGUAGE', 'NORP']",1,0.0,1.0,0.0,1.0
"['DATE', 'TIME']",2,0.0,0.5,0.0,1.0
PRODUCT,9,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.7777777777777778
"['GPE', 'LANGUAGE']",1,0.0,0.0,0.0,1.0
