Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,950,0.0,0.7631578947368421,0.12523866859102603,0.9589473684210527,0.8610526315789474
ORG,227,0.0,0.7577092511013216,0.10288526071771761,0.933920704845815,0.8502202643171806
unknown,620,0.0,0.5774193548387097,0.0694309194894584,0.8241935483870968,0.785483870967742
"['PERSON', 'GPE', 'PERSON']",2,0.0,1.0,0.06633771929824561,1.0,1.0
QUANTITY,14,0.0,0.35714285714285715,0.12215047064676572,0.8571428571428571,0.8571428571428571
LOC,38,0.0,0.6052631578947368,0.11299343601675937,0.7894736842105263,0.7368421052631579
GPE,238,0.0,0.7142857142857143,0.09995765012147094,0.8697478991596639,0.8067226890756303
"['GPE', 'GPE', 'GPE', 'ORG']",1,0.0,1.0,0.04878048780487806,1.0,1.0
"['GPE', 'DATE']",1,0.0,0.0,0.09375000000000001,0.0,1.0
DATE,437,0.0,0.5354691075514875,0.10061380052394532,0.7940503432494279,0.6910755148741419
"['NORP', 'ORG']",6,0.0,1.0,0.1809961334961335,1.0,1.0
NORP,49,0.0,0.5918367346938775,0.06056943198690685,0.7551020408163265,0.7755102040816326
ORDINAL,11,0.0,0.6363636363636364,0.07183974967397427,0.9090909090909091,0.7272727272727273
"['PERSON', 'NORP', 'PERSON']",7,0.0,1.0,0.1978889971381875,1.0,1.0
"['DATE', 'ORDINAL', 'WORK_OF_ART']",1,0.0,0.0,0.0,1.0,1.0
"['PERSON', 'ORG']",5,0.0,0.2,0.05645758143359678,0.6,0.2
"['ORG', 'PERSON']",8,0.0,0.75,0.1036917578035999,1.0,1.0
CARDINAL,144,0.0,0.5902777777777778,0.08201063849082306,0.9097222222222222,0.7638888888888888
"['LOC', 'NORP', 'LOC']",1,0.0,1.0,0.2857142857142857,1.0,1.0
MONEY,10,0.0,0.5,0.08801467287061315,0.9,0.6
"['PERSON', 'ORG', 'PERSON', 'PERSON']",2,0.0,1.0,0.1623931623931624,1.0,1.0
"['DATE', 'EVENT']",2,0.0,0.5,0.07575757575757575,1.0,0.5
"['DATE', 'ORG']",4,0.0,0.5,0.08919622439546537,1.0,0.75
FAC,12,0.0,0.5833333333333334,0.17691165280679347,0.8333333333333334,0.75
"['GPE', 'GPE', 'DATE']",1,0.0,1.0,0.08163265306122448,1.0,1.0
"['CARDINAL', 'LOC']",1,0.0,0.0,0.05714285714285714,1.0,0.0
"['NORP', 'ORG', 'NORP']",1,0.0,1.0,0.23529411764705882,1.0,1.0
"['ORG', 'DATE']",2,0.0,0.5,0.11025641025641027,1.0,0.5
"['QUANTITY', 'FAC']",1,0.0,1.0,0.2608695652173913,1.0,1.0
"['NORP', 'GPE']",6,0.0,0.3333333333333333,0.1095717921806576,0.6666666666666666,0.6666666666666666
"['DATE', 'CARDINAL']",6,0.0,0.8333333333333334,0.05986112555200309,1.0,0.6666666666666666
"['PERSON', 'GPE']",9,0.0,0.6666666666666666,0.21868502029107167,1.0,0.7777777777777778
"['PERSON', 'PERSON', 'GPE']",1,0.0,1.0,0.34782608695652173,1.0,1.0
"['ORG', 'PERSON', 'NORP', 'PERSON']",1,0.0,1.0,0.25,1.0,1.0
"['PERSON', 'WORK_OF_ART']",2,0.0,1.0,0.11213517665130568,1.0,1.0
"['PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON']",1,0.0,1.0,0.21739130434782605,1.0,1.0
WORK_OF_ART,13,0.0,0.46153846153846156,0.056205657853403264,0.8461538461538461,0.7692307692307693
"['DATE', 'PERSON']",4,0.0,0.5,0.17808302808302806,0.75,0.75
"['ORG', 'LOC']",2,0.0,0.5,0.07472826086956522,1.0,1.0
"['CARDINAL', 'ORG']",2,0.0,0.5,0.20202020202020202,1.0,0.5
"['PERSON', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE']",1,0.0,1.0,0.2727272727272727,1.0,1.0
"['PERSON', 'PERSON', 'ORG']",5,0.0,1.0,0.17811788211788213,1.0,1.0
"['NORP', 'PERSON']",6,0.0,0.8333333333333334,0.13227513227513227,1.0,1.0
TIME,7,0.0,0.5714285714285714,0.07238333930063254,0.8571428571428571,0.7142857142857143
"['ORG', 'GPE']",12,0.0,0.25,0.1421097578816473,0.75,0.6666666666666666
