Entity,Number of data,Hard EM,Soft EM,F1,BEM,Human
PERSON,950,0.016842105263157894,0.6484210526315789,0.2012208300873322,0.9536842105263158,0.7210526315789474
ORG,227,0.01762114537444934,0.73568281938326,0.1844174789251997,0.9515418502202643,0.8105726872246696
unknown,620,0.03064516129032258,0.482258064516129,0.13349606577217277,0.8370967741935483,0.7467741935483871
"['PERSON', 'GPE', 'PERSON']",2,0.0,1.0,0.11346153846153846,1.0,1.0
QUANTITY,14,0.0,0.2857142857142857,0.13656224207431084,0.7142857142857143,0.7142857142857143
LOC,38,0.0,0.5263157894736842,0.1830900392261816,0.8421052631578947,0.8157894736842105
GPE,238,0.01680672268907563,0.6932773109243697,0.18794549133203053,0.9201680672268907,0.7899159663865546
"['GPE', 'GPE', 'GPE', 'ORG']",1,0.0,1.0,0.1111111111111111,1.0,1.0
"['GPE', 'DATE']",1,0.0,0.0,0.2857142857142857,1.0,1.0
DATE,437,0.004576659038901602,0.5102974828375286,0.1761356043844822,0.8604118993135011,0.6773455377574371
"['NORP', 'ORG']",6,0.0,0.6666666666666666,0.19566249638713407,1.0,0.6666666666666666
NORP,49,0.0,0.42857142857142855,0.07520638048692987,0.8571428571428571,0.7755102040816326
ORDINAL,11,0.0,0.6363636363636364,0.15452515657119237,0.9090909090909091,0.7272727272727273
"['PERSON', 'NORP', 'PERSON']",7,0.0,1.0,0.33239141810570383,1.0,1.0
"['DATE', 'ORDINAL', 'WORK_OF_ART']",1,0.0,0.0,0.0,1.0,1.0
"['PERSON', 'ORG']",5,0.0,0.6,0.13284797402444462,0.8,0.8
"['ORG', 'PERSON']",8,0.0,0.375,0.15831409254523066,1.0,0.75
CARDINAL,144,0.006944444444444444,0.5416666666666666,0.12412233853649075,0.8958333333333334,0.6736111111111112
"['LOC', 'NORP', 'LOC']",1,0.0,1.0,0.2608695652173913,1.0,1.0
MONEY,10,0.0,0.6,0.09682840443106815,0.9,0.8
"['PERSON', 'ORG', 'PERSON', 'PERSON']",2,0.0,1.0,0.30952380952380953,1.0,1.0
"['DATE', 'EVENT']",2,0.0,0.5,0.08225806451612903,1.0,0.5
"['DATE', 'ORG']",4,0.0,0.25,0.15476190476190477,0.5,0.0
FAC,12,0.0,0.5,0.13719096808066245,0.9166666666666666,0.5833333333333334
"['GPE', 'GPE', 'DATE']",1,0.0,0.0,0.4615384615384615,1.0,1.0
"['CARDINAL', 'LOC']",1,0.0,0.0,0.04081632653061224,1.0,0.0
"['NORP', 'ORG', 'NORP']",1,0.0,1.0,0.6153846153846153,1.0,1.0
"['ORG', 'DATE']",2,0.0,0.5,0.11363636363636365,1.0,0.5
"['QUANTITY', 'FAC']",1,0.0,1.0,0.25,1.0,1.0
"['NORP', 'GPE']",6,0.0,0.3333333333333333,0.17183805265772478,0.8333333333333334,0.3333333333333333
"['DATE', 'CARDINAL']",6,0.0,0.6666666666666666,0.26789876789876793,0.8333333333333334,0.6666666666666666
"['PERSON', 'GPE']",9,0.0,0.2222222222222222,0.20394055262476316,0.7777777777777778,0.4444444444444444
"['PERSON', 'PERSON', 'GPE']",1,0.0,0.0,0.07142857142857142,1.0,0.0
"['ORG', 'PERSON', 'NORP', 'PERSON']",1,0.0,1.0,0.21428571428571425,1.0,1.0
"['PERSON', 'WORK_OF_ART']",2,0.0,1.0,0.26515151515151514,1.0,1.0
"['PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON', 'PERSON', 'ORG', 'PERSON']",1,0.0,0.0,0.030769230769230767,0.0,0.0
WORK_OF_ART,13,0.0,0.5384615384615384,0.150229454948511,0.8461538461538461,0.5384615384615384
"['DATE', 'PERSON']",4,0.0,0.75,0.23443223443223443,1.0,0.75
"['ORG', 'LOC']",2,0.0,0.5,0.17142857142857143,1.0,1.0
"['CARDINAL', 'ORG']",2,0.0,0.0,0.1111111111111111,0.5,0.5
"['PERSON', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE']",1,0.0,1.0,0.2222222222222222,1.0,1.0
"['PERSON', 'PERSON', 'ORG']",5,0.0,0.8,0.26049677149294154,1.0,1.0
"['NORP', 'PERSON']",6,0.0,0.6666666666666666,0.20345844742759187,1.0,0.6666666666666666
TIME,7,0.0,0.2857142857142857,0.09946353391011964,1.0,0.7142857142857143
"['ORG', 'GPE']",12,0.0,0.5,0.1600611891612733,0.5833333333333334,0.6666666666666666
"['PERSON', 'GPE', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'GPE', 'GPE', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE']",1,0.0,1.0,0.07142857142857142,1.0,0.0
"['PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON']",1,0.0,1.0,0.1515151515151515,1.0,1.0
"['PERSON', 'PERSON', 'CARDINAL']",1,0.0,1.0,0.28571428571428575,1.0,1.0
"['GPE', 'GPE', 'DATE', 'GPE', 'GPE', 'DATE']",1,0.0,1.0,0.5555555555555556,1.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'ORG']",2,0.0,1.0,0.3639705882352941,1.0,1.0
PERCENT,9,0.0,0.4444444444444444,0.12374429223744293,0.7777777777777778,0.4444444444444444
"['NORP', 'PERSON', 'PERSON']",5,0.0,0.8,0.28909090909090907,1.0,0.8
"['GPE', 'GPE', 'LOC', 'GPE', 'GPE']",1,0.0,1.0,0.35294117647058826,1.0,1.0
"['DATE', 'PERSON', 'PERSON', 'PERSON', 'PERSON']",1,0.0,1.0,0.5882352941176471,1.0,1.0
"['GPE', 'EVENT']",1,0.0,1.0,0.3636363636363636,1.0,1.0
EVENT,7,0.0,0.7142857142857143,0.25807356062228626,0.7142857142857143,0.8571428571428571
"['PERSON', 'LOC', 'PERSON', 'LOC']",1,0.0,0.0,0.4615384615384615,1.0,1.0
"['LAW', 'DATE']",2,0.0,0.0,0.09227664648688315,1.0,0.5
"['FAC', 'GPE']",1,0.0,0.0,0.0,1.0,0.0
"['GPE', 'GPE', 'GPE', 'GPE', 'LOC']",1,0.0,1.0,0.15384615384615385,1.0,1.0
"['LOC', 'GPE']",3,0.0,1.0,0.31803751803751806,1.0,1.0
"['DATE', 'DATE', 'GPE', 'DATE']",1,0.0,1.0,0.47058823529411764,1.0,1.0
"['NORP', 'DATE', 'NORP']",1,0.0,0.0,0.0,1.0,1.0
"['GPE', 'GPE', 'FAC', 'GPE']",1,0.0,0.0,0.0,0.0,0.0
"['ORG', 'ORDINAL']",1,0.0,0.0,0.05555555555555555,1.0,0.0
"['DATE', 'NORP']",1,0.0,0.0,0.0,1.0,0.0
"['NORP', 'GPE', 'NORP']",1,0.0,0.0,0.15384615384615385,1.0,1.0
"['ORG', 'PERSON', 'PERSON', 'PERSON']",2,0.0,1.0,0.2424242424242424,1.0,1.0
"['ORG', 'GPE', 'GPE']",2,0.0,1.0,0.2095238095238095,1.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'PERSON', 'WORK_OF_ART', 'PERSON']",1,0.0,0.0,0.0,0.0,0.0
"['PERSON', 'GPE', 'GPE']",1,0.0,1.0,0.15384615384615385,1.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON']",1,0.0,1.0,0.5263157894736842,1.0,1.0
"['LOC', 'DATE']",1,0.0,0.0,0.07692307692307693,1.0,0.0
"['CARDINAL', 'EVENT']",1,0.0,1.0,0.1,1.0,1.0
"['CARDINAL', 'CARDINAL', 'PERSON', 'PERSON']",1,0.0,0.0,0.13793103448275865,1.0,0.0
"['MONEY', 'DATE']",2,0.0,0.0,0.08571428571428572,1.0,0.5
"['ORG', 'LANGUAGE']",1,0.0,1.0,0.1111111111111111,1.0,1.0
"['CARDINAL', 'ORG', 'GPE', 'ORG']",1,0.0,1.0,0.10526315789473684,1.0,1.0
"['GPE', 'LOC']",1,0.0,1.0,0.15384615384615385,1.0,1.0
"['GPE', 'LOC', 'GPE', 'GPE']",1,0.0,0.0,0.23076923076923075,1.0,1.0
LANGUAGE,2,0.0,0.0,0.04411764705882353,0.5,1.0
"['QUANTITY', 'CARDINAL', 'QUANTITY']",1,0.0,0.0,0.09523809523809525,1.0,1.0
"['PERSON', 'PERSON', 'ORG', 'PERSON', 'WORK_OF_ART', 'PERSON', 'PERSON']",1,0.0,0.0,0.2,1.0,0.0
"['GPE', 'GPE', 'ORG']",1,0.0,1.0,0.23076923076923078,1.0,1.0
"['CARDINAL', 'QUANTITY']",3,0.0,0.3333333333333333,0.10325806017603863,1.0,1.0
"['CARDINAL', 'CARDINAL', 'DATE', 'CARDINAL', 'CARDINAL']",1,0.0,0.0,0.09999999999999999,0.0,1.0
"['PERSON', 'ORG', 'GPE']",1,0.0,0.0,0.09523809523809523,1.0,1.0
"['LOC', 'NORP', 'GPE']",1,0.0,1.0,0.08695652173913045,1.0,1.0
"['GPE', 'GPE', 'NORP', 'GPE']",1,0.0,0.0,0.03773584905660377,0.0,1.0
"['PERSON', 'GPE', 'GPE', 'GPE']",1,0.0,1.0,0.21428571428571425,1.0,1.0
"['DATE', 'PERSON', 'GPE']",1,0.0,0.0,0.03225806451612903,0.0,1.0
"['DATE', 'ORG', 'PRODUCT', 'ORG', 'ORG', 'PRODUCT']",1,0.0,1.0,0.12,1.0,0.0
"['DATE', 'GPE', 'DATE', 'DATE']",1,0.0,1.0,0.3333333333333333,1.0,0.0
"['ORG', 'NORP']",2,0.0,1.0,0.06888888888888889,1.0,0.5
"['ORG', 'FAC', 'ORG']",2,0.0,0.0,0.03269537480063796,0.5,0.5
"['ORG', 'NORP', 'GPE']",1,0.0,1.0,0.2857142857142857,1.0,1.0
"['PERSON', 'PERSON', 'ORG', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON']",1,0.0,0.0,0.0983606557377049,0.0,0.0
"['DATE', 'PERCENT']",1,0.0,0.0,0.09090909090909091,1.0,0.0
"['CARDINAL', 'DATE']",6,0.0,0.3333333333333333,0.22486892192774546,0.8333333333333334,0.6666666666666666
"['PERSON', 'NORP', 'ORG']",1,0.0,1.0,0.375,1.0,1.0
