Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
CARDINAL,169,0.011834319526627219,0.4556213017751479,0.13452392183724643,0.9408284023668639,0.5621301775147929,0.621301775147929
QUANTITY,19,0.0,0.2631578947368421,0.20754334845006384,1.0,0.7368421052631579,0.7368421052631579
ORDINAL,13,0.0,0.46153846153846156,0.13914566355742825,0.9230769230769231,0.6923076923076923,0.5384615384615384
MONEY,11,0.0,0.36363636363636365,0.1321811591404068,1.0,0.6363636363636364,0.5454545454545454
PERCENT,10,0.0,0.4,0.1318402430902431,0.9,0.6,0.5
TIME,7,0.0,0.14285714285714285,0.10776763488384722,1.0,0.42857142857142855,0.42857142857142855
Overall,229,0.008733624454148471,0.42358078602620086,0.1397970683970579,0.9475982532751092,0.5851528384279476,0.611353711790393
