Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,52,0.057692307692307696,0.5961538461538461,0.2951892271644717,0.9038461538461539,0.7692307692307693,0.75
CARDINAL,105,0.0761904761904762,0.6952380952380952,0.24133151814319725,0.9428571428571428,0.8095238095238095,0.7904761904761904
QUANTITY,1,0.0,0.0,0.2222222222222222,1.0,1.0,1.0
ORDINAL,3,0.6666666666666666,0.6666666666666666,0.7017543859649122,1.0,0.6666666666666666,0.6666666666666666
MONEY,4,0.0,0.0,0.06451612903225806,0.5,0.5,0.5
PERCENT,2,0.0,0.5,0.07692307692307693,1.0,0.5,0.5
TIME,5,0.0,0.6,0.3025974025974026,1.0,0.8,0.6
PERSON,744,0.08198924731182795,0.7956989247311828,0.312430607251475,0.9529569892473119,0.8494623655913979,0.8467741935483871
GPE,296,0.07432432432432433,0.8581081081081081,0.37046853230930704,0.9797297297297297,0.9155405405405406,0.9256756756756757
ORG,380,0.06315789473684211,0.7894736842105263,0.28195261620052214,0.9657894736842105,0.8736842105263158,0.8605263157894737
NORP,58,0.08620689655172414,0.7586206896551724,0.25525539544142073,0.9137931034482759,0.7758620689655172,0.7931034482758621
LOC,32,0.0625,0.875,0.3174734455389028,0.96875,0.9375,0.9375
unknown,189,0.05291005291005291,0.5714285714285714,0.23025183599180282,0.9153439153439153,0.7619047619047619,0.7407407407407407
Overall,1871,0.07322287546766434,0.7675040085515767,0.3007336418978172,0.9524318546231961,0.8492784607161945,0.843399251737039
