Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity
DATE,499,0.38276553106212424,0.8557114228456913,0.41082164328657317,0.7154308617234469,0.9038076152304609
CARDINAL,169,0.3905325443786982,0.8224852071005917,0.40828402366863903,0.6331360946745562,0.8698224852071006
QUANTITY,19,0.2631578947368421,0.5263157894736842,0.3157894736842105,0.7368421052631579,0.7894736842105263
ORDINAL,13,0.46153846153846156,0.7692307692307693,0.5384615384615384,0.6153846153846154,0.7692307692307693
MONEY,11,0.45454545454545453,0.8181818181818182,0.45454545454545453,0.5454545454545454,0.9090909090909091
PERCENT,10,0.5,0.9,0.6,0.6,0.8
TIME,7,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.8571428571428571
PERSON,1035,0.4396135265700483,0.9352657004830918,0.46570048309178746,0.7198067632850241,0.9130434782608695
GPE,288,0.2708333333333333,0.8680555555555556,0.3055555555555556,0.8159722222222222,0.8888888888888888
ORG,198,0.3383838383838384,0.8838383838383839,0.37373737373737376,0.8131313131313131,0.8434343434343434
NORP,80,0.3,0.775,0.3625,0.7625,0.825
LOC,46,0.34782608695652173,0.7608695652173914,0.391304347826087,0.8043478260869565,0.8478260869565217
