Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,499,0.0,0.4729458917835671,0.16429229737786497,0.8897795591182365,0.5951903807615231,0.6172344689378757
CARDINAL,169,0.011834319526627219,0.4556213017751479,0.13452392183724643,0.9408284023668639,0.5088757396449705,0.621301775147929
QUANTITY,19,0.0,0.2631578947368421,0.20754334845006384,1.0,0.5789473684210527,0.7368421052631579
ORDINAL,13,0.0,0.46153846153846156,0.13914566355742825,0.9230769230769231,0.5384615384615384,0.5384615384615384
MONEY,11,0.0,0.36363636363636365,0.1321811591404068,1.0,0.45454545454545453,0.5454545454545454
PERCENT,10,0.0,0.4,0.1318402430902431,0.9,0.5,0.5
TIME,7,0.0,0.14285714285714285,0.10776763488384722,1.0,0.2857142857142857,0.42857142857142855
Overall,728,0.0027472527472527475,0.4574175824175824,0.15658706738252867,0.907967032967033,0.5673076923076923,0.6153846153846154
