Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,499,0.3907815631262525,0.5170340681362725,0.5976941673334463,0.7414829659318637,0.6312625250501002,0.6733466933867736
CARDINAL,169,0.3727810650887574,0.4556213017751479,0.46155117936494455,0.6449704142011834,0.6153846153846154,0.6804733727810651
QUANTITY,19,0.10526315789473684,0.3157894736842105,0.3544129554655871,0.5263157894736842,0.5789473684210527,0.7368421052631579
ORDINAL,13,0.38461538461538464,0.46153846153846156,0.4461538461538461,0.6153846153846154,0.5384615384615384,0.7692307692307693
MONEY,11,0.45454545454545453,0.45454545454545453,0.6115702479338844,0.7272727272727273,0.7272727272727273,0.7272727272727273
PERCENT,10,0.1,0.2,0.21666666666666665,0.5,0.3,0.4
TIME,7,0.14285714285714285,0.14285714285714285,0.4249433106575964,0.5714285714285714,0.5714285714285714,0.7142857142857143
Overall,728,0.37362637362637363,0.4876373626373626,0.550348801558316,0.7060439560439561,0.6208791208791209,0.6758241758241759
