Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity
DATE,499,0.6973947895791583,0.8036072144288577,0.8817635270541082,0.8517034068136272,0.905811623246493
CARDINAL,169,0.6686390532544378,0.7396449704142012,0.7692307692307693,0.8224852071005917,0.8402366863905325
QUANTITY,19,0.3684210526315789,0.5789473684210527,0.6842105263157895,0.6842105263157895,0.8421052631578947
ORDINAL,13,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.8461538461538461,0.7692307692307693
MONEY,11,0.7272727272727273,0.7272727272727273,0.9090909090909091,0.8181818181818182,1.0
PERCENT,10,0.7,0.8,0.8,0.5,0.9
TIME,7,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.8571428571428571
Overall,728,0.6785714285714286,0.7760989010989011,0.8447802197802198,0.8351648351648352,0.8873626373626373
