Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
PERSON,1035,0.7971014492753623,0.8946859903381642,0.9111111111111111,0.9449275362318841,0.8995169082125604
GPE,288,0.5416666666666666,0.7604166666666666,0.7361111111111112,0.8506944444444444,0.8819444444444444
ORG,198,0.6565656565656566,0.7777777777777778,0.7929292929292929,0.8838383838383839,0.8383838383838383
NORP,80,0.525,0.675,0.75,0.8,0.8125
LOC,46,0.41304347826086957,0.5434782608695652,0.6739130434782609,0.8260869565217391,0.7608695652173914
Overall,1647,0.7115968427443837,0.8366727383120826,0.8518518518518519,0.9107468123861566,0.8809957498482088
