Entity,Number of data,Hard EM,Soft EM,F1,BEM
PERSON,950,0.13894736842105262,0.8810526315789474,0.14105263157894737,0.8852631578947369
GPE,238,0.19327731092436976,0.8403361344537815,0.19747899159663865,0.8445378151260504
ORG,227,0.14977973568281938,0.8810572687224669,0.15859030837004406,0.8898678414096917
NORP,49,0.22448979591836735,0.7346938775510204,0.22448979591836735,0.8163265306122449
LOC,38,0.2631578947368421,0.8157894736842105,0.2631578947368421,0.8421052631578947
WORK_OF_ART,13,0.23076923076923078,0.6923076923076923,0.23076923076923078,0.7692307692307693
FAC,12,0.25,0.8333333333333334,0.3333333333333333,0.75
PRODUCT,9,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.7777777777777778
EVENT,7,0.2857142857142857,0.8571428571428571,0.2857142857142857,0.5714285714285714
LAW,3,0.0,0.3333333333333333,0.0,0.6666666666666666
LANGUAGE,2,0.0,1.0,0.0,1.0
Overall,1548,0.1569767441860465,0.8643410852713178,0.16085271317829458,0.872093023255814
