Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,52,0.057692307692307696,0.5961538461538461,0.2951892271644717,0.9038461538461539,0.7884615384615384,0.75
CARDINAL,105,0.0761904761904762,0.6952380952380952,0.24133151814319725,0.9428571428571428,0.8380952380952381,0.7904761904761904
QUANTITY,1,0.0,0.0,0.2222222222222222,1.0,1.0,1.0
ORDINAL,3,0.6666666666666666,0.6666666666666666,0.7017543859649122,1.0,0.6666666666666666,0.6666666666666666
MONEY,4,0.0,0.0,0.06451612903225806,0.5,0.5,0.5
PERCENT,2,0.0,0.5,0.07692307692307693,1.0,0.5,0.5
TIME,5,0.0,0.6,0.3025974025974026,1.0,0.6,0.6
Overall,172,0.0755813953488372,0.6395348837209303,0.26129088535271744,0.9244186046511628,0.8023255813953488,0.7616279069767442
