Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,437,0.0,0.5354691075514875,0.10061380052394532,0.7940503432494279,0.5491990846681922,0.6910755148741419
CARDINAL,144,0.0,0.5902777777777778,0.08201063849082306,0.9097222222222222,0.6388888888888888,0.7638888888888888
QUANTITY,14,0.0,0.35714285714285715,0.12215047064676572,0.8571428571428571,0.7142857142857143,0.8571428571428571
ORDINAL,11,0.0,0.6363636363636364,0.07183974967397427,0.9090909090909091,0.5454545454545454,0.7272727272727273
MONEY,10,0.0,0.5,0.08801467287061315,0.9,0.5,0.6
PERCENT,9,0.0,0.4444444444444444,0.025423012517941986,0.6666666666666666,0.2222222222222222,0.4444444444444444
TIME,7,0.0,0.5714285714285714,0.07238333930063254,0.8571428571428571,0.2857142857142857,0.7142857142857143
Overall,632,0.0,0.5443037974683544,0.09476858199934034,0.8243670886075949,0.564873417721519,0.7072784810126582
