Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,52,0.019230769230769232,0.6346153846153846,0.2335319903477995,0.9038461538461539,0.9230769230769231,0.8846153846153846
CARDINAL,105,0.01904761904761905,0.6857142857142857,0.16653090217279465,0.9142857142857143,0.9047619047619048,0.8476190476190476
QUANTITY,1,0.0,0.0,0.28571428571428575,1.0,1.0,0.0
ORDINAL,3,0.0,0.6666666666666666,0.1952380952380952,1.0,0.6666666666666666,0.6666666666666666
MONEY,4,0.0,0.25,0.08680555555555555,1.0,0.75,0.75
PERCENT,2,0.0,1.0,0.1769230769230769,1.0,1.0,0.5
TIME,5,0.0,0.8,0.20532613585245169,1.0,1.0,0.8
PERSON,744,0.038978494623655914,0.7983870967741935,0.2809325755646612,0.9610215053763441,0.9301075268817204,0.9139784946236559
GPE,296,0.030405405405405407,0.8344594594594594,0.2599205638797345,0.9763513513513513,0.9594594594594594,0.9493243243243243
ORG,380,0.039473684210526314,0.781578947368421,0.2606670675855977,0.9526315789473684,0.9131578947368421,0.8921052631578947
NORP,58,0.034482758620689655,0.7068965517241379,0.21234971361746208,0.9482758620689655,0.9137931034482759,0.8448275862068966
LOC,32,0.03125,0.8125,0.3033969748786683,0.84375,0.90625,0.90625
WORK_OF_ART,17,0.0,0.7058823529411765,0.2274799707588936,0.9411764705882353,0.8823529411764706,0.8235294117647058
FAC,17,0.0,1.0,0.29897355790992025,1.0,1.0,1.0
PRODUCT,21,0.09523809523809523,0.7142857142857143,0.27909923232404626,0.9047619047619048,0.9047619047619048,0.9047619047619048
EVENT,9,0.0,0.6666666666666666,0.2698094463729139,1.0,1.0,1.0
LAW,2,0.0,1.0,0.33333333333333337,1.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.19999999999999998,1.0,1.0,1.0
unknown,189,0.026455026455026454,0.6402116402116402,0.24067822139851555,0.9312169312169312,0.9206349206349206,0.8624338624338624
Overall,1938,0.034055727554179564,0.7703818369453045,0.25946917473914966,0.9525283797729618,0.9277605779153767,0.9019607843137255
