Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,437,0.8718535469107551,0.9130434782608695,0.9359267734553776,0.9130434782608695,0.965675057208238
CARDINAL,144,0.9097222222222222,0.9375,0.9722222222222222,0.9166666666666666,0.9583333333333334
QUANTITY,14,0.9285714285714286,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286
ORDINAL,11,0.7272727272727273,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
MONEY,10,0.6,0.6,0.8,0.9,0.8
PERCENT,9,0.7777777777777778,1.0,0.8888888888888888,0.7777777777777778,0.8888888888888888
TIME,7,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,1.0
Overall,632,0.8734177215189873,0.9161392405063291,0.9414556962025317,0.9113924050632911,0.9588607594936709
