Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity
DATE,499,0.6833667334669339,0.7695390781563126,0.8476953907815631,0.8236472945891784,0.8517034068136272
CARDINAL,169,0.6627218934911243,0.7218934911242604,0.7692307692307693,0.7928994082840237,0.7869822485207101
QUANTITY,19,0.3684210526315789,0.47368421052631576,0.6842105263157895,0.7368421052631579,0.7894736842105263
ORDINAL,13,0.6153846153846154,0.7692307692307693,0.8461538461538461,0.8461538461538461,0.9230769230769231
MONEY,11,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.8181818181818182
PERCENT,10,0.8,1.0,0.8,0.6,0.8
TIME,7,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571
Overall,728,0.6717032967032966,0.7541208791208791,0.8228021978021978,0.8090659340659341,0.8351648351648352
