Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity
DATE,52,0.17307692307692307,0.8653846153846154,0.17307692307692307,0.8461538461538461,0.8653846153846154
CARDINAL,105,0.19047619047619047,0.8761904761904762,0.19047619047619047,0.8380952380952381,0.8666666666666667
QUANTITY,1,1.0,1.0,1.0,0.0,1.0
ORDINAL,3,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0
MONEY,4,0.5,0.75,0.5,0.75,0.75
PERCENT,2,0.5,1.0,0.5,0.5,0.5
TIME,5,0.0,1.0,0.0,1.0,1.0
Overall,172,0.19767441860465115,0.877906976744186,0.19767441860465115,0.8313953488372093,0.8662790697674418
