Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instrandom,Human
DATE,499,0.40080160320641284,0.5230460921843687,0.5811325392487718,0.7214428857715431,0.5470941883767535,0.7094188376753507
CARDINAL,169,0.40236686390532544,0.46153846153846156,0.4863918133148901,0.7100591715976331,0.5443786982248521,0.727810650887574
QUANTITY,19,0.15789473684210525,0.2631578947368421,0.45162907268170427,0.631578947368421,0.42105263157894735,0.7894736842105263
ORDINAL,13,0.3076923076923077,0.46153846153846156,0.4721611721611722,0.5384615384615384,0.5384615384615384,0.6923076923076923
MONEY,11,0.2727272727272727,0.36363636363636365,0.5120031483667847,0.6363636363636364,0.45454545454545453,0.5454545454545454
PERCENT,10,0.2,0.4,0.24,0.4,0.3,0.4
TIME,7,0.42857142857142855,0.42857142857142855,0.5428571428571428,0.7142857142857143,0.5714285714285714,0.7142857142857143
PERSON,1035,0.5478260869565217,0.7014492753623188,0.6917156520046086,0.8038647342995169,0.6666666666666666,0.8579710144927536
GPE,288,0.3298611111111111,0.5694444444444444,0.5274593889870596,0.7256944444444444,0.5138888888888888,0.8194444444444444
ORG,198,0.3787878787878788,0.5555555555555556,0.5430678543257016,0.6717171717171717,0.51010101010101,0.8181818181818182
NORP,80,0.3125,0.4875,0.44470085470085463,0.6125,0.5125,0.825
LOC,46,0.21739130434782608,0.30434782608695654,0.4136846563047935,0.5652173913043478,0.43478260869565216,0.782608695652174
unknown,586,0.26791808873720135,0.4232081911262799,0.3922858581439841,0.5836177474402731,0.43856655290102387,0.7918088737201365
Overall,2961,0.4093211752786221,0.5612968591691996,0.560142840335843,0.7112462006079028,0.5569064505234718,0.7997298210064168
