Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,499,0.38276553106212424,0.6192384769539078,0.38276553106212424,0.5971943887775552,0.8176352705410822
CARDINAL,169,0.378698224852071,0.6686390532544378,0.378698224852071,0.621301775147929,0.7633136094674556
QUANTITY,19,0.2631578947368421,0.7368421052631579,0.2631578947368421,0.7368421052631579,0.8947368421052632
ORDINAL,13,0.46153846153846156,0.5384615384615384,0.46153846153846156,0.46153846153846156,0.6923076923076923
MONEY,11,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.5454545454545454,0.8181818181818182
PERCENT,10,0.5,0.5,0.5,0.4,0.6
TIME,7,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.7142857142857143
PERSON,1035,0.391304347826087,0.6086956521739131,0.3932367149758454,0.5855072463768116,0.8879227053140096
GPE,288,0.25,0.75,0.2534722222222222,0.7118055555555556,0.90625
ORG,198,0.30303030303030304,0.696969696969697,0.30808080808080807,0.6818181818181818,0.8535353535353535
NORP,80,0.3,0.7,0.3,0.6875,0.85
LOC,46,0.2608695652173913,0.7391304347826086,0.2608695652173913,0.6521739130434783,0.8260869565217391
WORK_OF_ART,14,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.21428571428571427,0.6428571428571429
FAC,17,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5294117647058824,1.0
PRODUCT,13,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.6923076923076923,1.0
EVENT,8,0.5,0.5,0.5,0.5,0.75
LAW,4,0.0,1.0,0.0,0.75,1.0
LANGUAGE,3,0.0,1.0,0.0,1.0,1.0
unknown,586,0.2781569965870307,0.7218430034129693,0.2781569965870307,0.6757679180887372,0.8242320819112628
Overall,3020,0.34503311258278146,0.6582781456953642,0.34635761589403974,0.6271523178807947,0.8519867549668875
