Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
DATE,499,0.37074148296593185,0.45691382765531063,0.5359094718705251,0.6713426853707415,0.6813627254509018,0.6172344689378757
CARDINAL,169,0.34911242603550297,0.40828402366863903,0.4262396902320328,0.6390532544378699,0.6686390532544378,0.621301775147929
QUANTITY,19,0.10526315789473684,0.2631578947368421,0.36316928685349736,0.631578947368421,0.6842105263157895,0.7368421052631579
ORDINAL,13,0.3076923076923077,0.38461538461538464,0.38461538461538464,0.6153846153846154,0.5384615384615384,0.5384615384615384
MONEY,11,0.2727272727272727,0.36363636363636365,0.5206611570247934,0.6363636363636364,0.5454545454545454,0.5454545454545454
PERCENT,10,0.2,0.3,0.46333333333333326,0.7,0.8,0.5
TIME,7,0.14285714285714285,0.14285714285714285,0.4428571428571428,0.5714285714285714,0.7142857142857143,0.42857142857142855
Overall,728,0.3516483516483517,0.4326923076923077,0.5011183470102034,0.6607142857142857,0.6758241758241759,0.6153846153846154
