Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,437,0.0,0.459954233409611,0.1681319204281089,0.88558352402746,0.5926773455377574,0.6109839816933639
CARDINAL,144,0.006944444444444444,0.4513888888888889,0.12024251108484472,0.9444444444444444,0.6319444444444444,0.625
QUANTITY,14,0.0,0.2857142857142857,0.21402705849853132,1.0,0.7857142857142857,0.7142857142857143
ORDINAL,11,0.0,0.45454545454545453,0.13474790541635462,0.9090909090909091,0.6363636363636364,0.45454545454545453
MONEY,10,0.0,0.4,0.10560129525646766,1.0,0.5,0.5
PERCENT,9,0.0,0.4444444444444444,0.1293951418951419,0.8888888888888888,0.4444444444444444,0.5555555555555556
TIME,7,0.0,0.2857142857142857,0.11178663378775662,1.0,0.42857142857142855,0.5714285714285714
Overall,632,0.0015822784810126582,0.4509493670886076,0.15549090548733516,0.9050632911392406,0.6012658227848101,0.6107594936708861
