Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
DATE,52,0.17307692307692307,0.8653846153846154,0.17307692307692307,0.8461538461538461,0.8461538461538461
CARDINAL,105,0.19047619047619047,0.8761904761904762,0.19047619047619047,0.8380952380952381,0.8571428571428571
QUANTITY,1,1.0,1.0,1.0,0.0,0.0
ORDINAL,3,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0
MONEY,4,0.5,0.75,0.5,0.75,0.75
PERCENT,2,0.5,1.0,0.5,0.5,0.5
TIME,5,0.0,1.0,0.0,1.0,1.0
PERSON,744,0.08198924731182795,0.9193548387096774,0.08333333333333333,0.9274193548387096,0.9543010752688172
GPE,296,0.08108108108108109,0.9290540540540541,0.0945945945945946,0.9324324324324325,0.9493243243243243
