Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity
DATE,499,0.2905811623246493,0.8036072144288577,0.2985971943887776,0.7935871743486974,0.7615230460921844
CARDINAL,169,0.27218934911242604,0.8284023668639053,0.28402366863905326,0.7928994082840237,0.6627218934911243
QUANTITY,19,0.21052631578947367,0.5263157894736842,0.21052631578947367,0.8421052631578947,0.631578947368421
ORDINAL,13,0.3076923076923077,0.8461538461538461,0.3076923076923077,0.7692307692307693,0.8461538461538461
MONEY,11,0.45454545454545453,0.9090909090909091,0.45454545454545453,0.6363636363636364,0.8181818181818182
PERCENT,10,0.6,1.0,0.6,0.7,0.8
TIME,7,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.5714285714285714
Overall,728,0.29120879120879123,0.8063186813186813,0.29945054945054944,0.7912087912087912,0.7362637362637363
