Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,499,0.006012024048096192,0.5270541082164328,0.17760370037901121,0.8677354709418837,0.7615230460921844,0.6733466933867736
CARDINAL,169,0.0,0.5088757396449705,0.12173741081290833,0.893491124260355,0.6804733727810651,0.6804733727810651
QUANTITY,19,0.0,0.3157894736842105,0.15088059260066936,0.8421052631578947,0.6842105263157895,0.7368421052631579
ORDINAL,13,0.0,0.5384615384615384,0.1355081957594179,0.9230769230769231,0.6153846153846154,0.7692307692307693
MONEY,11,0.0,0.45454545454545453,0.08221986346292671,0.9090909090909091,0.5454545454545454,0.7272727272727273
PERCENT,10,0.0,0.4,0.12046077210460773,0.8,0.6,0.4
TIME,7,0.0,0.2857142857142857,0.116826171272757,1.0,0.7142857142857143,0.7142857142857143
Overall,728,0.004120879120879121,0.5123626373626373,0.1603750221687374,0.875,0.7321428571428571,0.6758241758241759
