Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instentity,Human
DATE,499,0.37074148296593185,0.45691382765531063,0.5359094718705251,0.6713426853707415,0.5450901803607214,0.6172344689378757
CARDINAL,169,0.34911242603550297,0.40828402366863903,0.4262396902320328,0.6390532544378699,0.5621301775147929,0.621301775147929
QUANTITY,19,0.10526315789473684,0.2631578947368421,0.36316928685349736,0.631578947368421,0.42105263157894735,0.7368421052631579
ORDINAL,13,0.3076923076923077,0.38461538461538464,0.38461538461538464,0.6153846153846154,0.46153846153846156,0.5384615384615384
MONEY,11,0.2727272727272727,0.36363636363636365,0.5206611570247934,0.6363636363636364,0.5454545454545454,0.5454545454545454
PERCENT,10,0.2,0.3,0.46333333333333326,0.7,0.6,0.5
TIME,7,0.14285714285714285,0.14285714285714285,0.4428571428571428,0.5714285714285714,0.42857142857142855,0.42857142857142855
PERSON,1035,0.4057971014492754,0.5053140096618357,0.5083871032839045,0.5845410628019324,0.5400966183574879,0.6086956521739131
GPE,288,0.2916666666666667,0.5104166666666666,0.4638491067272773,0.6493055555555556,0.6041666666666666,0.75
ORG,198,0.35353535353535354,0.47474747474747475,0.5061501209228484,0.6414141414141414,0.5252525252525253,0.696969696969697
NORP,80,0.225,0.375,0.3803968253968254,0.625,0.5625,0.7
LOC,46,0.15217391304347827,0.2826086956521739,0.3787505972288581,0.6086956521739131,0.43478260869565216,0.7391304347826086
unknown,586,0.2150170648464164,0.3532423208191126,0.33609744966387056,0.5204778156996587,0.5068259385665529,0.7218430034129693
Overall,2961,0.331306990881459,0.44883485309017224,0.46254929220187463,0.602161431948666,0.5386693684566025,0.6568726781492739
